frame_index,latency_ms,throughput_ms,latency_fps,throughput_fps
0,367.42,0.00,2.72,0.00
1,397.13,173.94,2.52,5.75
2,413.78,183.73,2.42,5.44
3,460.90,180.72,2.17,5.53
4,501.66,208.14,1.99,4.80
5,425.99,158.30,2.35,6.32
6,487.63,195.52,2.05,5.11
7,483.50,196.42,2.07,5.09
8,417.17,167.10,2.40,5.98
9,457.97,174.24,2.18,5.74
10,413.56,155.62,2.42,6.43
11,405.60,158.78,2.47,6.30
12,403.66,164.89,2.48,6.06
13,407.26,170.29,2.46,5.87
14,437.03,162.95,2.29,6.14
15,425.18,188.20,2.35,5.31
16,439.42,180.83,2.28,5.53
17,388.82,149.51,2.57,6.69
18,408.85,153.06,2.45,6.53
19,385.90,143.20,2.59,6.98
20,387.06,167.49,2.58,5.97
21,413.26,159.14,2.42,6.28
22,416.31,169.32,2.40,5.91
23,460.35,177.05,2.17,5.65
24,425.58,164.71,2.35,6.07
25,431.25,172.09,2.32,5.81
26,442.60,177.68,2.26,5.63
27,465.49,222.31,2.15,4.50
28,424.80,158.73,2.35,6.30
29,422.00,163.35,2.37,6.12
30,448.01,192.28,2.23,5.20
31,443.16,161.11,2.26,6.21
32,408.76,164.81,2.45,6.07
33,430.50,154.66,2.32,6.47
34,429.43,165.09,2.33,6.06
35,402.64,172.46,2.48,5.80
36,459.32,189.51,2.18,5.28
37,456.44,196.44,2.19,5.09
38,446.38,156.24,2.24,6.40
39,402.01,155.00,2.49,6.45
40,382.23,146.51,2.62,6.83
41,355.26,139.14,2.81,7.19
42,376.93,154.45,2.65,6.47
43,372.20,161.23,2.69,6.20
44,398.05,158.62,2.51,6.30
45,363.28,164.36,2.75,6.08
46,406.67,176.32,2.46,5.67
47,425.18,151.33,2.35,6.61
48,408.21,149.14,2.45,6.71
49,397.96,155.88,2.51,6.42
50,378.70,146.73,2.64,6.82
51,370.88,158.47,2.70,6.31
52,376.75,171.67,2.65,5.83
53,413.79,169.71,2.42,5.89
54,404.81,156.94,2.47,6.37
55,423.96,152.36,2.36,6.56
56,386.68,161.96,2.59,6.17
57,403.78,150.21,2.48,6.66
58,401.39,163.72,2.49,6.11
59,386.16,150.98,2.59,6.62
60,409.44,156.14,2.44,6.40
61,389.38,145.96,2.57,6.85
62,380.48,156.95,2.63,6.37
63,404.44,156.65,2.47,6.38
64,419.55,181.15,2.38,5.52
65,430.29,176.80,2.32,5.66
66,477.27,180.15,2.10,5.55
67,460.45,182.62,2.17,5.48
68,466.25,205.10,2.14,4.88
69,450.98,184.02,2.22,5.43
70,443.54,192.13,2.25,5.20
71,434.79,190.59,2.30,5.25
72,471.58,169.61,2.12,5.90
73,404.49,165.68,2.47,6.04
74,416.49,177.93,2.40,5.62
75,425.27,174.81,2.35,5.72
76,417.63,158.35,2.39,6.32
77,407.00,155.39,2.46,6.44
78,397.73,156.61,2.51,6.39
79,384.28,152.41,2.60,6.56
80,373.16,154.73,2.68,6.46
81,396.62,156.21,2.52,6.40
82,385.41,154.78,2.59,6.46
83,402.25,149.61,2.49,6.68
84,389.18,152.89,2.57,6.54
85,428.89,172.47,2.33,5.80
86,465.21,202.28,2.15,4.94
87,479.08,183.96,2.09,5.44
88,473.74,193.80,2.11,5.16
89,398.64,157.13,2.51,6.36
90,419.40,153.48,2.38,6.52
91,395.52,142.03,2.53,7.04
92,411.10,148.30,2.43,6.74
93,396.55,151.36,2.52,6.61
94,436.69,172.91,2.29,5.78
95,441.52,170.87,2.26,5.85
96,457.88,149.02,2.18,6.71
97,398.18,139.38,2.51,7.17
98,374.99,142.61,2.67,7.01
99,340.90,131.65,2.93,7.60
100,327.10,118.89,3.06,8.41
