frame_index,latency_ms,throughput_ms,latency_fps,throughput_fps
0,302.66,0.00,3.30,0.00
1,354.10,248.30,2.82,4.03
2,332.60,255.43,3.01,3.91
3,395.18,267.54,2.53,3.74
4,351.08,248.10,2.85,4.03
5,323.66,247.46,3.09,4.04
6,362.03,245.35,2.76,4.08
7,359.88,266.62,2.78,3.75
8,331.49,252.81,3.02,3.96
9,387.87,270.34,2.58,3.70
10,358.45,251.78,2.79,3.97
11,334.66,251.46,2.99,3.98
12,409.89,275.80,2.44,3.63
13,329.27,258.40,3.04,3.87
14,412.97,294.45,2.42,3.40
15,425.10,285.44,2.35,3.50
16,398.60,270.99,2.51,3.69
17,348.27,236.63,2.87,4.23
18,346.72,268.83,2.88,3.72
19,360.11,275.17,2.78,3.63
20,372.45,283.98,2.68,3.52
21,396.17,300.99,2.52,3.32
22,387.17,287.17,2.58,3.48
23,383.08,286.92,2.61,3.49
24,431.95,333.35,2.32,3.00
25,436.54,307.66,2.29,3.25
26,398.29,266.32,2.51,3.75
27,387.46,275.27,2.58,3.63
28,366.54,260.61,2.73,3.84
29,362.05,269.94,2.76,3.70
30,354.17,257.86,2.82,3.88
31,317.57,248.39,3.15,4.03
32,358.14,248.84,2.79,4.02
33,348.69,261.59,2.87,3.82
34,333.75,259.73,3.00,3.85
35,396.71,269.58,2.52,3.71
36,385.42,264.81,2.59,3.78
37,379.32,268.28,2.64,3.73
38,370.18,261.05,2.70,3.83
39,370.14,268.07,2.70,3.73
40,357.32,263.04,2.80,3.80
41,346.45,269.32,2.89,3.71
42,320.66,249.90,3.12,4.00
43,358.77,243.63,2.79,4.10
44,335.26,254.08,2.98,3.94
45,384.07,251.90,2.60,3.97
46,369.96,255.64,2.70,3.91
47,336.78,244.27,2.97,4.09
48,383.38,253.84,2.61,3.94
49,349.34,247.60,2.86,4.04
50,389.31,249.66,2.57,4.01
51,340.10,249.17,2.94,4.01
52,337.56,267.02,2.96,3.75
53,396.01,267.11,2.53,3.74
54,383.28,270.57,2.61,3.70
55,353.37,251.57,2.83,3.97
56,352.49,270.00,2.84,3.70
57,330.71,249.38,3.02,4.01
58,389.25,262.66,2.57,3.81
59,379.34,271.01,2.64,3.69
60,392.74,285.24,2.55,3.51
61,384.43,270.11,2.60,3.70
62,367.25,261.40,2.72,3.83
63,338.11,263.83,2.96,3.79
64,389.60,261.89,2.57,3.82
65,378.49,264.73,2.64,3.78
66,370.81,263.36,2.70,3.80
67,359.38,268.82,2.78,3.72
68,344.47,265.76,2.90,3.76
69,345.91,269.57,2.89,3.71
70,389.28,261.10,2.57,3.83
71,386.25,265.79,2.59,3.76
72,374.81,263.67,2.67,3.79
73,383.34,272.43,2.61,3.67
74,367.60,256.30,2.72,3.90
75,367.58,264.54,2.72,3.78
76,359.00,257.03,2.79,3.89
77,367.84,268.99,2.72,3.72
78,341.17,249.25,2.93,4.01
79,409.31,273.74,2.44,3.65
80,442.43,306.41,2.26,3.26
81,492.12,348.82,2.03,2.87
82,364.27,273.41,2.75,3.66
83,325.37,248.04,3.07,4.03
84,397.05,266.52,2.52,3.75
85,374.23,253.89,2.67,3.94
86,360.91,253.61,2.77,3.94
87,342.46,249.75,2.92,4.00
88,325.14,253.00,3.08,3.95
89,425.26,304.11,2.35,3.29
90,325.84,255.05,3.07,3.92
91,365.61,250.58,2.74,3.99
92,346.33,254.43,2.89,3.93
93,323.15,257.10,3.09,3.89
94,374.78,249.68,2.67,4.01
95,356.46,255.54,2.81,3.91
96,347.25,257.68,2.88,3.88
97,341.12,264.51,2.93,3.78
98,411.72,281.56,2.43,3.55
99,395.95,268.02,2.53,3.73
100,379.06,264.34,2.64,3.78
101,367.44,259.90,2.72,3.85
102,342.03,250.78,2.92,3.99
103,336.96,262.24,2.97,3.81
104,390.71,256.62,2.56,3.90
105,377.33,257.36,2.65,3.89
106,367.33,254.00,2.72,3.94
107,362.65,261.43,2.76,3.83
108,345.90,248.13,2.89,4.03
109,338.46,256.62,2.95,3.90
110,312.94,241.74,3.20,4.14
111,365.56,250.54,2.74,3.99
112,357.26,262.73,2.80,3.81
113,341.47,249.13,2.93,4.01
114,321.40,245.72,3.11,4.07
115,377.60,254.68,2.65,3.93
116,358.42,250.94,2.79,3.99
117,350.66,262.56,2.85,3.81
118,329.70,246.23,3.03,4.06
119,375.43,245.11,2.66,4.08
120,344.67,255.69,2.90,3.91
121,384.36,252.69,2.60,3.96
122,355.60,247.04,2.81,4.05
123,343.88,254.02,2.91,3.94
124,386.46,254.16,2.59,3.93
125,382.92,263.49,2.61,3.80
126,395.43,285.22,2.53,3.51
127,391.81,271.78,2.55,3.68
128,381.74,276.37,2.62,3.62
129,356.40,263.35,2.81,3.80
130,338.95,260.33,2.95,3.84
131,319.12,256.52,3.13,3.90
