frame_index,latency_ms,throughput_ms,latency_fps,throughput_fps
0,257.20,0.00,3.89,0.00
1,290.77,219.14,3.44,4.56
2,269.16,215.40,3.72,4.64
3,323.21,219.37,3.09,4.56
4,268.23,215.22,3.73,4.65
5,312.11,213.26,3.20,4.69
6,313.15,232.34,3.19,4.30
7,261.01,220.18,3.83,4.54
8,276.94,242.19,3.61,4.13
9,286.83,215.39,3.49,4.64
10,287.59,236.79,3.48,4.22
11,290.01,233.52,3.45,4.28
12,335.00,240.75,2.99,4.15
13,344.65,246.73,2.90,4.05
14,363.93,292.25,2.75,3.42
15,447.54,360.84,2.23,2.77
16,482.96,371.37,2.07,2.69
17,403.18,329.89,2.48,3.03
18,383.16,273.73,2.61,3.65
19,352.75,254.97,2.83,3.92
20,336.53,256.75,2.97,3.89
21,359.40,256.30,2.78,3.90
22,340.90,262.25,2.93,3.81
23,314.24,246.24,3.18,4.06
24,335.38,231.31,2.98,4.32
25,336.15,237.64,2.97,4.21
26,325.79,265.65,3.07,3.76
27,295.64,242.57,3.38,4.12
28,371.46,240.81,2.69,4.15
29,307.01,232.96,3.26,4.29
30,308.57,238.76,3.24,4.19
31,342.80,231.15,2.92,4.33
32,268.85,226.86,3.72,4.41
33,268.61,232.56,3.72,4.30
34,332.08,230.33,3.01,4.34
35,343.53,246.52,2.91,4.06
36,317.76,242.33,3.15,4.13
37,344.05,223.27,2.91,4.48
38,328.20,242.73,3.05,4.12
39,325.77,237.24,3.07,4.22
40,318.15,230.57,3.14,4.34
41,380.48,258.76,2.63,3.86
42,360.89,286.68,2.77,3.49
43,468.72,356.04,2.13,2.81
44,505.65,364.89,1.98,2.74
45,491.18,387.35,2.04,2.58
46,364.83,293.81,2.74,3.40
47,371.65,293.54,2.69,3.41
48,399.73,293.97,2.50,3.40
49,467.42,305.47,2.14,3.27
50,386.03,244.57,2.59,4.09
51,322.97,248.08,3.10,4.03
52,316.50,232.70,3.16,4.30
53,351.71,230.44,2.84,4.34
54,328.78,234.31,3.04,4.27
55,301.91,228.63,3.31,4.37
56,331.93,218.36,3.01,4.58
57,297.70,229.78,3.36,4.35
58,323.93,224.25,3.09,4.46
59,349.90,221.83,2.86,4.51
60,276.62,225.70,3.62,4.43
61,267.23,227.93,3.74,4.39
62,287.60,218.40,3.48,4.58
63,305.06,218.00,3.28,4.59
64,325.22,216.70,3.07,4.61
65,310.63,217.55,3.22,4.60
66,295.14,220.76,3.39,4.53
67,346.68,244.55,2.88,4.09
68,373.48,229.31,2.68,4.36
69,332.32,229.39,3.01,4.36
70,376.40,239.77,2.66,4.17
71,335.87,227.53,2.98,4.40
72,331.90,260.47,3.01,3.84
73,425.93,333.77,2.35,3.00
74,428.93,329.92,2.33,3.03
75,418.34,288.54,2.39,3.47
76,433.81,317.49,2.31,3.15
77,386.09,267.13,2.59,3.74
78,378.56,267.73,2.64,3.74
79,334.39,268.74,2.99,3.72
80,376.72,283.64,2.65,3.53
81,401.21,312.82,2.49,3.20
82,360.01,260.52,2.78,3.84
83,389.20,301.93,2.57,3.31
84,363.98,276.87,2.75,3.61
85,393.04,302.50,2.54,3.31
86,361.07,274.71,2.77,3.64
87,342.59,270.85,2.92,3.69
88,331.33,257.45,3.02,3.88
89,400.29,277.64,2.50,3.60
90,425.17,300.63,2.35,3.33
91,424.04,296.27,2.36,3.38
92,412.71,282.39,2.42,3.54
93,385.13,264.40,2.60,3.78
94,362.06,260.65,2.76,3.84
95,363.20,277.44,2.75,3.60
96,382.28,294.64,2.62,3.39
97,426.51,324.49,2.34,3.08
98,367.54,287.30,2.72,3.48
99,388.03,307.23,2.58,3.25
100,461.66,314.40,2.17,3.18
101,384.15,303.89,2.60,3.29
102,414.47,278.77,2.41,3.59
103,412.74,279.34,2.42,3.58
104,352.01,282.45,2.84,3.54
105,338.91,258.62,2.95,3.87
106,343.76,270.09,2.91,3.70
107,350.03,276.03,2.86,3.62
108,344.38,267.50,2.90,3.74
109,348.47,275.92,2.87,3.62
110,377.03,236.47,2.65,4.23
111,341.80,246.47,2.93,4.06
112,328.38,259.27,3.05,3.86
113,406.13,274.29,2.46,3.65
