frame_index,latency_ms,throughput_ms,latency_fps,throughput_fps
0,224.55,0.00,4.45,0.00
1,202.11,235.68,4.95,4.24
2,197.84,231.11,5.05,4.33
3,196.97,230.24,5.08,4.34
4,209.41,242.74,4.78,4.12
5,207.52,240.85,4.82,4.15
6,215.93,249.16,4.63,4.01
7,309.31,342.57,3.23,2.92
8,272.77,306.24,3.67,3.27
9,277.90,311.09,3.60,3.21
10,229.82,263.00,4.35,3.80
11,240.07,273.26,4.17,3.66
12,286.53,319.73,3.49,3.13
13,248.39,281.61,4.03,3.55
14,244.52,277.82,4.09,3.60
15,212.73,246.31,4.70,4.06
16,209.22,242.57,4.78,4.12
17,207.52,241.09,4.82,4.15
18,204.39,237.87,4.89,4.20
19,212.01,245.34,4.72,4.08
20,225.09,258.50,4.44,3.87
21,210.22,243.45,4.76,4.11
22,207.20,240.46,4.83,4.16
23,211.03,244.31,4.74,4.09
24,215.39,249.00,4.64,4.02
25,214.01,247.29,4.67,4.04
26,213.18,246.49,4.69,4.06
27,264.91,298.57,3.77,3.35
28,245.13,278.42,4.08,3.59
29,225.72,259.25,4.43,3.86
30,207.63,241.20,4.82,4.15
31,215.57,249.14,4.64,4.01
32,210.83,244.31,4.74,4.09
33,225.63,258.83,4.43,3.86
34,276.07,309.32,3.62,3.23
35,264.60,297.99,3.78,3.36
36,252.84,286.05,3.96,3.50
37,244.13,277.58,4.10,3.60
38,253.19,286.38,3.95,3.49
39,216.69,249.99,4.61,4.00
40,247.56,280.85,4.04,3.56
41,228.54,261.94,4.38,3.82
42,237.84,271.05,4.20,3.69
43,272.97,306.21,3.66,3.27
44,260.50,293.68,3.84,3.41
45,256.84,290.12,3.89,3.45
46,253.97,287.24,3.94,3.48
47,285.84,319.08,3.50,3.13
48,239.65,272.95,4.17,3.66
49,263.84,297.20,3.79,3.36
50,258.26,291.74,3.87,3.43
51,247.15,280.37,4.05,3.57
52,234.39,267.92,4.27,3.73
53,227.44,260.95,4.40,3.83
54,346.08,379.25,2.89,2.64
55,354.55,387.90,2.82,2.58
56,324.22,357.47,3.08,2.80
57,298.08,331.37,3.35,3.02
58,285.64,318.90,3.50,3.14
59,266.29,299.51,3.76,3.34
60,284.87,318.19,3.51,3.14
61,349.75,382.92,2.86,2.61
62,338.96,372.13,2.95,2.69
63,302.15,335.34,3.31,2.98
64,312.03,345.26,3.20,2.90
65,306.12,339.39,3.27,2.95
66,324.91,358.11,3.08,2.79
67,385.01,418.27,2.60,2.39
68,351.86,385.30,2.84,2.60
69,291.34,324.56,3.43,3.08
70,288.05,321.30,3.47,3.11
71,285.45,318.71,3.50,3.14
72,290.51,323.78,3.44,3.09
