frame_index,latency_ms,throughput_ms,latency_fps,throughput_fps
0,300.31,0.00,3.33,0.00
1,237.53,270.88,4.21,3.69
2,237.51,270.81,4.21,3.69
3,232.78,266.63,4.30,3.75
4,242.51,275.84,4.12,3.63
5,240.07,273.29,4.17,3.66
6,239.77,272.98,4.17,3.66
7,248.57,281.79,4.02,3.55
8,244.97,278.25,4.08,3.59
9,226.24,259.53,4.42,3.85
10,246.27,279.51,4.06,3.58
11,237.58,270.78,4.21,3.69
12,246.55,280.08,4.06,3.57
13,262.95,296.26,3.80,3.38
14,232.24,265.60,4.31,3.77
15,263.79,297.16,3.79,3.37
16,273.84,307.31,3.65,3.25
17,264.44,297.65,3.78,3.36
18,303.03,336.25,3.30,2.97
19,275.71,309.65,3.63,3.23
20,268.37,301.68,3.73,3.31
21,261.19,294.41,3.83,3.40
22,266.45,299.70,3.75,3.34
23,267.30,300.51,3.74,3.33
24,285.01,318.26,3.51,3.14
25,268.82,302.27,3.72,3.31
26,254.84,288.12,3.92,3.47
27,250.04,283.52,4.00,3.53
28,238.23,271.45,4.20,3.68
29,250.26,283.61,4.00,3.53
30,259.63,292.91,3.85,3.41
31,240.48,273.68,4.16,3.65
32,263.21,296.49,3.80,3.37
33,248.05,281.30,4.03,3.55
34,273.62,306.95,3.65,3.26
35,292.82,326.09,3.42,3.07
36,264.94,298.20,3.77,3.35
37,278.35,311.62,3.59,3.21
38,301.08,334.30,3.32,2.99
39,261.52,294.78,3.82,3.39
40,271.49,304.81,3.68,3.28
41,259.76,293.07,3.85,3.41
42,263.94,297.16,3.79,3.37
43,247.00,280.23,4.05,3.57
44,234.84,268.11,4.26,3.73
45,245.80,279.07,4.07,3.58
46,254.79,288.02,3.92,3.47
47,248.66,281.87,4.02,3.55
48,237.50,270.75,4.21,3.69
49,250.17,283.43,4.00,3.53
50,265.78,299.17,3.76,3.34
51,264.81,298.29,3.78,3.35
52,286.25,319.49,3.49,3.13
53,280.87,314.02,3.56,3.18
54,291.04,324.25,3.44,3.08
55,256.83,290.08,3.89,3.45
56,315.03,348.48,3.17,2.87
57,265.55,298.81,3.77,3.35
58,262.92,296.18,3.80,3.38
59,239.88,273.28,4.17,3.66
60,242.50,275.93,4.12,3.62
61,253.90,287.12,3.94,3.48
62,240.75,273.96,4.15,3.65
63,231.39,264.90,4.32,3.78
64,255.52,288.70,3.91,3.46
65,248.40,281.62,4.03,3.55
66,241.50,274.97,4.14,3.64
67,295.97,329.22,3.38,3.04
68,298.16,331.72,3.35,3.01
69,290.53,323.77,3.44,3.09
70,269.05,302.28,3.72,3.31
71,235.91,269.33,4.24,3.71
72,248.39,281.97,4.03,3.55
73,249.11,282.54,4.01,3.54
74,247.91,281.25,4.03,3.56
75,289.92,323.35,3.45,3.09
76,254.61,288.04,3.93,3.47
77,247.61,281.14,4.04,3.56
78,265.40,298.59,3.77,3.35
