frame_index,stage,duration_ms
0,frame_acquisition,33.21
0,queue_frame,0.19
1,frame_acquisition,33.12
0,detection,50.80
1,queue_frame,17.95
0,queue_bbox,0.11
2,frame_acquisition,33.12
1,detection,33.63
2,queue_frame,18.55
3,frame_acquisition,33.09
2,detection,41.36
3,queue_frame,26.87
4,frame_acquisition,33.09
3,detection,39.20
4,queue_frame,33.06
5,frame_acquisition,33.08
6,frame_acquisition,33.10
4,detection,34.72
5,queue_frame,34.69
7,frame_acquisition,33.16
5,detection,34.44
6,queue_frame,36.12
0,landmarks,206.08
0,queue_landmarks,0.18
1,queue_bbox,56.93
8,frame_acquisition,33.11
6,detection,34.88
7,queue_frame,37.77
9,frame_acquisition,33.10
7,detection,36.74
8,queue_frame,41.46
10,frame_acquisition,33.09
8,detection,35.80
9,queue_frame,44.36
0,visualization,98.15
11,frame_acquisition,33.09
9,detection,36.62
10,queue_frame,48.04
12,frame_acquisition,33.11
10,detection,36.81
11,queue_frame,51.89
1,landmarks,170.14
1,queue_landmarks,0.08
2,queue_bbox,47.16
13,frame_acquisition,33.09
11,detection,36.58
12,queue_frame,55.35
14,frame_acquisition,33.13
12,detection,37.81
13,queue_frame,60.02
15,frame_acquisition,33.10
13,detection,33.49
14,queue_frame,60.30
1,visualization,101.04
16,frame_acquisition,33.10
14,detection,35.06
15,queue_frame,62.28
17,frame_acquisition,33.11
2,landmarks,157.96
2,queue_landmarks,0.07
3,queue_bbox,59.91
15,detection,30.63
16,queue_frame,59.86
18,frame_acquisition,33.14
16,detection,35.19
17,queue_frame,61.84
19,frame_acquisition,33.12
17,detection,37.72
20,frame_acquisition,33.14
18,queue_frame,66.66
21,frame_acquisition,33.11
18,detection,42.46
19,queue_frame,42.88
2,visualization,126.09
22,frame_acquisition,33.09
19,detection,43.71
20,queue_frame,53.72
23,frame_acquisition,33.09
3,landmarks,194.89
3,queue_landmarks,0.07
4,queue_bbox,72.37
20,detection,39.64
21,queue_frame,60.32
24,frame_acquisition,33.11
21,detection,39.21
22,queue_frame,66.48
25,frame_acquisition,33.12
26,frame_acquisition,33.13
22,detection,39.43
23,queue_frame,39.35
3,visualization,111.11
27,frame_acquisition,33.09
23,detection,37.62
24,queue_frame,43.96
28,frame_acquisition,33.11
24,detection,32.78
25,queue_frame,43.56
4,landmarks,175.49
5,queue_bbox,47.03
4,queue_landmarks,0.17
29,frame_acquisition,33.10
25,detection,41.82
26,queue_frame,52.43
30,frame_acquisition,33.09
26,detection,39.08
27,queue_frame,58.61
31,frame_acquisition,33.09
27,detection,39.70
28,queue_frame,65.34
32,frame_acquisition,33.09
33,frame_acquisition,33.20
4,visualization,142.85
28,detection,41.93
29,queue_frame,40.96
34,frame_acquisition,33.16
5,landmarks,183.29
5,queue_landmarks,0.08
6,queue_bbox,75.58
29,detection,36.80
30,queue_frame,44.51
35,frame_acquisition,33.09
30,detection,44.00
31,queue_frame,55.51
36,frame_acquisition,33.11
31,detection,38.56
32,queue_frame,61.21
37,frame_acquisition,33.08
5,visualization,117.42
38,frame_acquisition,33.11
32,detection,42.92
33,queue_frame,37.86
