frame_index,stage,duration_ms
0,bbox_calculation,76.00
0,data_queue,0.08
1,bbox_calculation,66.24
2,bbox_calculation,63.58
3,bbox_calculation,65.64
4,bbox_calculation,70.45
0,landmarks,176.75
0,visualization,124.90
1,data_queue,106.36
5,bbox_calculation,66.99
6,bbox_calculation,68.64
7,bbox_calculation,70.00
8,bbox_calculation,71.69
1,landmarks,155.80
1,visualization,91.66
2,data_queue,77.50
9,bbox_calculation,66.81
10,bbox_calculation,65.65
11,bbox_calculation,75.91
2,landmarks,144.80
2,visualization,109.89
3,data_queue,128.00
12,bbox_calculation,77.99
13,bbox_calculation,67.73
14,bbox_calculation,69.55
15,bbox_calculation,69.38
3,landmarks,171.63
3,visualization,95.18
4,data_queue,103.48
16,bbox_calculation,67.21
17,bbox_calculation,67.12
18,bbox_calculation,70.08
19,bbox_calculation,69.98
4,landmarks,146.43
4,visualization,100.80
5,data_queue,76.43
20,bbox_calculation,64.54
21,bbox_calculation,71.61
22,bbox_calculation,66.74
5,landmarks,150.86
5,visualization,95.86
6,data_queue,116.88
23,bbox_calculation,67.64
24,bbox_calculation,68.60
25,bbox_calculation,64.78
26,bbox_calculation,68.28
6,landmarks,149.75
6,visualization,94.95
7,data_queue,93.68
27,bbox_calculation,66.94
28,bbox_calculation,76.20
29,bbox_calculation,68.82
30,bbox_calculation,71.00
7,landmarks,157.11
7,visualization,108.79
8,data_queue,79.00
31,bbox_calculation,67.63
32,bbox_calculation,74.67
33,bbox_calculation,69.09
8,landmarks,154.14
8,visualization,98.01
9,data_queue,117.81
34,bbox_calculation,71.38
35,bbox_calculation,67.59
36,bbox_calculation,72.22
37,bbox_calculation,72.17
9,landmarks,168.39
9,visualization,101.41
10,data_queue,106.73
38,bbox_calculation,67.63
39,bbox_calculation,66.01
40,bbox_calculation,68.41
41,bbox_calculation,66.40
10,landmarks,149.19
10,visualization,102.02
11,data_queue,83.54
42,bbox_calculation,66.97
43,bbox_calculation,66.27
44,bbox_calculation,65.14
11,landmarks,145.19
11,visualization,105.45
12,data_queue,134.57
45,bbox_calculation,69.40
46,bbox_calculation,69.80
47,bbox_calculation,67.07
48,bbox_calculation,66.38
49,bbox_calculation,70.12
12,landmarks,167.69
12,visualization,107.34
13,data_queue,71.07
50,bbox_calculation,69.35
51,bbox_calculation,70.69
52,bbox_calculation,65.17
13,landmarks,156.01
13,visualization,101.94
14,data_queue,118.81
53,bbox_calculation,70.80
54,bbox_calculation,68.66
55,bbox_calculation,67.87
56,bbox_calculation,74.62
14,landmarks,164.43
14,visualization,129.52
15,data_queue,139.91
57,bbox_calculation,80.28
58,bbox_calculation,72.98
59,bbox_calculation,68.62
60,bbox_calculation,77.18
15,landmarks,171.44
15,visualization,113.45
16,data_queue,127.85
61,bbox_calculation,73.09
62,bbox_calculation,68.03
63,bbox_calculation,67.70
64,bbox_calculation,71.12
16,landmarks,159.97
16,visualization,110.44
17,data_queue,111.95
65,bbox_calculation,65.50
66,bbox_calculation,66.17
67,bbox_calculation,66.62
68,bbox_calculation,64.95
17,landmarks,142.51
17,visualization,93.48
18,data_queue,78.14
69,bbox_calculation,62.98
70,bbox_calculation,66.24
71,bbox_calculation,66.63
72,bbox_calculation,73.21
18,landmarks,161.53
18,visualization,106.69
19,data_queue,85.48
73,bbox_calculation,64.63
74,bbox_calculation,66.49
75,bbox_calculation,66.32
76,bbox_calculation,65.46
19,landmarks,171.93
19,visualization,102.43
20,data_queue,89.30
77,bbox_calculation,67.03
78,bbox_calculation,68.05
79,bbox_calculation,75.76
80,bbox_calculation,69.35
20,landmarks,169.44
20,visualization,113.41
21,data_queue,95.40
81,bbox_calculation,68.28
82,bbox_calculation,76.28
83,bbox_calculation,81.23
84,bbox_calculation,73.39
21,landmarks,185.85
21,visualization,114.58
22,data_queue,100.17
85,bbox_calculation,67.85
86,bbox_calculation,75.28
87,bbox_calculation,73.31
88,bbox_calculation,70.93
22,landmarks,163.93
22,visualization,122.65
23,data_queue,96.44
89,bbox_calculation,71.91
90,bbox_calculation,73.24
91,bbox_calculation,67.05
92,bbox_calculation,67.45
23,landmarks,174.13
23,visualization,112.19
24,data_queue,98.75
93,bbox_calculation,77.34
94,bbox_calculation,82.28
95,bbox_calculation,74.74
96,bbox_calculation,79.77
24,landmarks,213.62
24,visualization,119.18
25,data_queue,129.09
97,bbox_calculation,77.05
98,bbox_calculation,76.85
99,bbox_calculation,69.92
100,bbox_calculation,73.93
25,landmarks,185.63
25,visualization,121.50
26,data_queue,132.27
101,bbox_calculation,73.08
102,bbox_calculation,69.33
103,bbox_calculation,68.87
104,bbox_calculation,70.31
26,landmarks,157.73
26,visualization,108.12
27,data_queue,112.49
105,bbox_calculation,69.45
106,bbox_calculation,74.05
107,bbox_calculation,66.75
108,bbox_calculation,70.35
27,landmarks,162.06
27,visualization,112.59
28,data_queue,106.36
109,bbox_calculation,65.67
110,bbox_calculation,65.11
111,bbox_calculation,72.66
112,bbox_calculation,63.21
28,landmarks,151.27
28,visualization,108.69
29,data_queue,92.41
113,bbox_calculation,68.36
114,bbox_calculation,63.92
115,bbox_calculation,69.04
116,bbox_calculation,77.35
29,landmarks,148.80
29,visualization,120.60
30,data_queue,96.72
117,bbox_calculation,74.79
118,bbox_calculation,58.99
119,bbox_calculation,72.95
120,bbox_calculation,67.25
30,landmarks,144.15
30,visualization,113.06
31,data_queue,69.35
121,bbox_calculation,71.37
122,bbox_calculation,69.05
123,bbox_calculation,68.41
31,landmarks,149.21
31,visualization,98.80
32,data_queue,109.62
124,bbox_calculation,69.16
125,bbox_calculation,65.42
126,bbox_calculation,67.00
127,bbox_calculation,70.41
32,landmarks,142.54
32,visualization,105.80
33,data_queue,87.22
128,bbox_calculation,70.11
129,bbox_calculation,65.94
130,bbox_calculation,67.35
131,bbox_calculation,67.74
33,landmarks,153.27
33,visualization,107.89
34,data_queue,74.44
132,bbox_calculation,69.58
133,bbox_calculation,68.75
134,bbox_calculation,71.39
34,landmarks,147.38
34,visualization,111.74
35,data_queue,127.51
135,bbox_calculation,70.73
136,bbox_calculation,64.20
137,bbox_calculation,69.02
138,bbox_calculation,69.71
35,landmarks,166.48
35,visualization,102.53
36,data_queue,120.77
139,bbox_calculation,67.77
140,bbox_calculation,68.06
141,bbox_calculation,67.99
142,bbox_calculation,71.04
36,landmarks,153.96
36,visualization,110.40
37,data_queue,111.18
143,bbox_calculation,69.20
144,bbox_calculation,64.24
145,bbox_calculation,64.82
146,bbox_calculation,68.95
37,landmarks,161.54
37,visualization,106.42
38,data_queue,109.18
147,bbox_calculation,65.37
148,bbox_calculation,66.84
149,bbox_calculation,66.14
150,bbox_calculation,69.94
38,landmarks,152.43
38,visualization,108.34
39,data_queue,102.17
151,bbox_calculation,66.15
152,bbox_calculation,62.47
153,bbox_calculation,76.55
154,bbox_calculation,76.92
39,landmarks,144.87
39,visualization,122.90
40,data_queue,94.52
155,bbox_calculation,65.81
156,bbox_calculation,65.17
157,bbox_calculation,71.63
158,bbox_calculation,67.83
40,landmarks,150.52
40,visualization,112.15
41,data_queue,77.50
159,bbox_calculation,70.18
160,bbox_calculation,68.37
161,bbox_calculation,68.76
162,bbox_calculation,69.74
41,landmarks,151.40
41,visualization,117.42
42,data_queue,70.92
163,bbox_calculation,67.20
164,bbox_calculation,68.03
165,bbox_calculation,73.38
42,landmarks,141.35
42,visualization,108.19
43,data_queue,115.57
166,bbox_calculation,68.38
167,bbox_calculation,67.50
168,bbox_calculation,67.47
169,bbox_calculation,68.00
43,landmarks,139.01
43,visualization,104.00
44,data_queue,81.37
170,bbox_calculation,70.68
171,bbox_calculation,63.63
172,bbox_calculation,69.02
44,landmarks,145.48
44,visualization,108.05
45,data_queue,132.42
173,bbox_calculation,67.33
174,bbox_calculation,68.32
175,bbox_calculation,64.42
176,bbox_calculation,67.58
45,landmarks,147.03
45,visualization,104.33
46,data_queue,114.51
177,bbox_calculation,66.72
178,bbox_calculation,69.55
179,bbox_calculation,72.88
180,bbox_calculation,67.54
46,landmarks,148.75
46,visualization,106.56
47,data_queue,92.61
181,bbox_calculation,73.56
182,bbox_calculation,65.56
183,bbox_calculation,66.31
47,landmarks,144.46
47,visualization,99.56
48,data_queue,129.70
184,bbox_calculation,65.99
185,bbox_calculation,74.91
186,bbox_calculation,73.78
187,bbox_calculation,66.34
48,landmarks,150.70
48,visualization,102.76
49,data_queue,101.80
188,bbox_calculation,74.04
189,bbox_calculation,68.76
190,bbox_calculation,71.67
49,landmarks,143.23
49,visualization,104.04
50,data_queue,139.77
191,bbox_calculation,69.03
192,bbox_calculation,75.95
193,bbox_calculation,81.06
194,bbox_calculation,67.98
50,landmarks,142.50
50,visualization,106.80
51,data_queue,91.10
195,bbox_calculation,66.61
196,bbox_calculation,67.62
197,bbox_calculation,66.78
198,bbox_calculation,67.23
51,landmarks,143.24
51,visualization,105.59
52,data_queue,70.69
199,bbox_calculation,73.52
200,bbox_calculation,67.46
201,bbox_calculation,69.12
52,landmarks,156.48
52,visualization,110.22
53,data_queue,129.21
202,bbox_calculation,70.44
203,bbox_calculation,72.44
204,bbox_calculation,70.59
205,bbox_calculation,69.63
53,landmarks,157.49
53,visualization,109.16
54,data_queue,113.00
206,bbox_calculation,70.11
207,bbox_calculation,72.79
208,bbox_calculation,68.16
209,bbox_calculation,70.94
54,landmarks,167.65
54,visualization,102.52
55,data_queue,101.92
210,bbox_calculation,66.11
211,bbox_calculation,65.21
212,bbox_calculation,68.07
213,bbox_calculation,69.75
55,landmarks,139.38
55,visualization,111.94
56,data_queue,82.67
214,bbox_calculation,68.64
215,bbox_calculation,67.69
216,bbox_calculation,64.57
217,bbox_calculation,68.73
56,landmarks,164.22
56,visualization,105.50
57,data_queue,81.64
218,bbox_calculation,69.77
219,bbox_calculation,65.19
220,bbox_calculation,66.58
57,landmarks,146.63
57,visualization,102.30
58,data_queue,126.63
221,bbox_calculation,73.00
222,bbox_calculation,70.68
223,bbox_calculation,70.05
224,bbox_calculation,71.24
58,landmarks,152.47
58,visualization,109.93
59,data_queue,108.41
225,bbox_calculation,67.80
226,bbox_calculation,63.44
227,bbox_calculation,68.68
228,bbox_calculation,68.29
59,landmarks,159.13
59,visualization,111.61
60,data_queue,107.64
229,bbox_calculation,70.80
230,bbox_calculation,68.43
231,bbox_calculation,70.33
232,bbox_calculation,70.46
60,landmarks,163.01
60,visualization,121.89
61,data_queue,114.48
233,bbox_calculation,68.73
234,bbox_calculation,70.52
235,bbox_calculation,68.17
236,bbox_calculation,71.95
61,landmarks,153.62
61,visualization,116.21
62,data_queue,105.97
237,bbox_calculation,77.64
238,bbox_calculation,70.46
