frame_index,stage,duration_ms
0,bbox_calculation,77.27
0,data_queue,0.24
1,bbox_calculation,67.91
2,bbox_calculation,70.72
3,bbox_calculation,34.76
4,bbox_calculation,33.93
0,landmarks,154.29
0,visualization,90.92
1,data_queue,72.39
5,bbox_calculation,68.07
6,bbox_calculation,33.80
7,bbox_calculation,33.68
8,bbox_calculation,66.12
9,bbox_calculation,34.00
1,landmarks,129.77
1,visualization,88.19
2,data_queue,54.39
10,bbox_calculation,33.75
11,bbox_calculation,62.90
12,bbox_calculation,33.86
13,bbox_calculation,33.88
2,landmarks,122.74
2,visualization,91.77
14,bbox_calculation,69.62
3,data_queue,104.10
15,bbox_calculation,34.08
16,bbox_calculation,34.63
17,bbox_calculation,62.33
18,bbox_calculation,33.80
19,bbox_calculation,33.94
3,landmarks,128.95
3,visualization,89.51
4,data_queue,53.51
20,bbox_calculation,65.99
21,bbox_calculation,34.06
22,bbox_calculation,34.36
23,bbox_calculation,66.74
4,landmarks,126.29
4,visualization,88.15
5,data_queue,99.53
24,bbox_calculation,34.42
25,bbox_calculation,33.90
26,bbox_calculation,61.12
27,bbox_calculation,33.83
28,bbox_calculation,34.27
5,landmarks,120.36
5,visualization,91.78
6,data_queue,81.21
29,bbox_calculation,66.70
30,bbox_calculation,34.37
31,bbox_calculation,33.74
32,bbox_calculation,67.36
33,bbox_calculation,34.33
34,bbox_calculation,34.07
6,landmarks,135.41
6,visualization,96.24
7,data_queue,40.93
35,bbox_calculation,59.24
36,bbox_calculation,33.79
37,bbox_calculation,33.78
38,bbox_calculation,64.29
39,bbox_calculation,34.04
7,landmarks,124.11
7,visualization,95.57
8,data_queue,35.03
40,bbox_calculation,33.77
41,bbox_calculation,68.69
42,bbox_calculation,33.88
43,bbox_calculation,33.90
44,bbox_calculation,69.74
8,landmarks,131.99
8,visualization,109.58
9,data_queue,71.77
45,bbox_calculation,34.12
46,bbox_calculation,33.86
47,bbox_calculation,63.58
48,bbox_calculation,33.52
49,bbox_calculation,33.64
9,landmarks,117.84
