frame_index,stage,duration_ms
0,frame_acquisition,33.57
0,detection,28.28
0,landmarks,110.15
0,visualization,90.69
1,frame_acquisition,33.12
1,detection,22.85
1,landmarks,105.34
1,visualization,71.32
2,frame_acquisition,33.13
2,detection,25.09
2,landmarks,112.89
2,visualization,70.52
3,frame_acquisition,33.08
3,detection,26.80
3,landmarks,95.87
3,visualization,68.84
4,frame_acquisition,33.10
4,detection,22.69
4,landmarks,101.21
4,visualization,71.46
5,frame_acquisition,33.13
5,detection,24.57
5,landmarks,95.12
5,visualization,69.16
6,frame_acquisition,33.13
6,detection,22.86
6,landmarks,101.38
6,visualization,74.43
7,frame_acquisition,33.25
7,detection,22.96
7,landmarks,96.98
7,visualization,71.58
8,frame_acquisition,33.07
8,detection,23.40
8,landmarks,98.36
8,visualization,74.56
9,frame_acquisition,33.07
9,detection,27.15
9,landmarks,94.48
9,visualization,67.22
10,frame_acquisition,33.16
10,detection,24.63
10,landmarks,95.12
10,visualization,68.93
11,frame_acquisition,33.07
11,detection,25.99
11,landmarks,108.96
11,visualization,72.40
12,frame_acquisition,33.07
12,detection,23.64
12,landmarks,90.42
12,visualization,68.72
13,frame_acquisition,33.41
13,detection,24.36
13,landmarks,113.29
13,visualization,73.02
14,frame_acquisition,33.23
14,detection,22.01
14,landmarks,94.33
14,visualization,68.20
15,frame_acquisition,33.28
15,detection,23.66
15,landmarks,101.57
15,visualization,73.40
16,frame_acquisition,33.47
16,detection,24.68
16,landmarks,96.66
16,visualization,73.41
17,frame_acquisition,33.40
17,detection,22.80
17,landmarks,97.65
17,visualization,81.18
18,frame_acquisition,33.20
18,detection,22.98
18,landmarks,95.11
18,visualization,75.69
19,frame_acquisition,33.10
19,detection,25.38
19,landmarks,97.65
19,visualization,81.67
20,frame_acquisition,33.13
20,detection,27.74
20,landmarks,91.79
20,visualization,72.88
21,frame_acquisition,33.10
21,detection,26.94
21,landmarks,96.54
21,visualization,75.18
22,frame_acquisition,33.69
22,detection,24.02
22,landmarks,115.16
22,visualization,91.29
23,frame_acquisition,33.10
23,detection,26.20
23,landmarks,107.36
23,visualization,88.08
24,frame_acquisition,33.07
24,detection,24.16
24,landmarks,95.24
24,visualization,76.39
25,frame_acquisition,33.46
25,detection,23.22
25,landmarks,92.20
25,visualization,82.10
26,frame_acquisition,33.21
26,detection,21.64
26,landmarks,97.23
26,visualization,75.10
27,frame_acquisition,33.33
27,detection,24.81
27,landmarks,97.07
27,visualization,79.59
28,frame_acquisition,33.11
28,detection,24.90
28,landmarks,103.43
28,visualization,84.57
29,frame_acquisition,33.10
29,detection,22.21
29,landmarks,97.17
29,visualization,77.69
30,frame_acquisition,33.45
30,detection,25.41
30,landmarks,97.94
30,visualization,81.15
31,frame_acquisition,33.14
31,detection,25.39
31,landmarks,110.17
31,visualization,91.59
32,frame_acquisition,33.33
32,detection,22.54
32,landmarks,97.21
32,visualization,77.21
33,frame_acquisition,33.14
33,detection,22.10
33,landmarks,94.18
33,visualization,77.48
34,frame_acquisition,33.13
34,detection,22.15
34,landmarks,102.23
34,visualization,91.23
35,frame_acquisition,33.17
35,detection,23.34
35,landmarks,96.48
35,visualization,87.02
36,frame_acquisition,33.10
36,detection,28.73
36,landmarks,112.22
36,visualization,86.22
37,frame_acquisition,33.07
37,detection,22.81
37,landmarks,91.08
37,visualization,84.03
38,frame_acquisition,33.30
38,detection,25.63
38,landmarks,105.91
