frame_index,stage,duration_ms
0,frame_acquisition,33.40
0,detection,27.85
0,landmarks,183.62
0,visualization,88.22
1,frame_acquisition,33.18
1,detection,25.15
1,landmarks,123.03
1,visualization,88.74
2,frame_acquisition,33.13
2,detection,23.29
2,landmarks,122.48
2,visualization,91.31
3,frame_acquisition,33.66
3,detection,23.44
3,landmarks,123.20
3,visualization,85.69
4,frame_acquisition,33.08
4,detection,24.20
4,landmarks,126.22
4,visualization,91.68
5,frame_acquisition,33.11
5,detection,25.89
5,landmarks,118.29
5,visualization,95.42
6,frame_acquisition,33.10
6,detection,31.13
6,landmarks,123.80
6,visualization,84.37
7,frame_acquisition,33.09
7,detection,30.07
7,landmarks,125.44
7,visualization,92.62
8,frame_acquisition,33.15
8,detection,28.67
8,landmarks,126.06
8,visualization,89.77
9,frame_acquisition,33.08
9,detection,21.91
9,landmarks,115.26
9,visualization,88.61
10,frame_acquisition,33.11
10,detection,24.18
10,landmarks,126.99
10,visualization,94.56
11,frame_acquisition,33.07
11,detection,21.72
11,landmarks,122.46
11,visualization,92.98
12,frame_acquisition,33.39
12,detection,29.76
12,landmarks,123.33
12,visualization,93.07
13,frame_acquisition,33.09
13,detection,25.48
13,landmarks,135.64
13,visualization,101.15
14,frame_acquisition,33.25
14,detection,24.70
14,landmarks,122.56
14,visualization,84.51
15,frame_acquisition,33.07
15,detection,25.99
15,landmarks,147.75
15,visualization,89.63
16,frame_acquisition,33.30
16,detection,23.86
16,landmarks,130.99
16,visualization,118.46
17,frame_acquisition,33.07
17,detection,31.15
17,landmarks,113.79
17,visualization,119.13
18,frame_acquisition,33.10
18,detection,31.17
18,landmarks,162.25
18,visualization,109.01
19,frame_acquisition,33.74
19,detection,36.39
19,landmarks,143.35
19,visualization,95.42
20,frame_acquisition,33.18
20,detection,26.45
20,landmarks,142.20
20,visualization,99.23
21,frame_acquisition,33.10
21,detection,28.05
21,landmarks,129.29
21,visualization,103.28
22,frame_acquisition,33.12
22,detection,25.10
22,landmarks,141.31
22,visualization,99.64
23,frame_acquisition,33.11
23,detection,29.36
23,landmarks,134.00
23,visualization,103.42
24,frame_acquisition,33.08
24,detection,30.82
24,landmarks,135.62
24,visualization,117.89
25,frame_acquisition,33.13
25,detection,29.88
25,landmarks,131.59
25,visualization,106.81
26,frame_acquisition,33.13
26,detection,23.16
26,landmarks,124.31
26,visualization,106.81
27,frame_acquisition,33.23
27,detection,25.20
27,landmarks,127.35
27,visualization,97.01
28,frame_acquisition,33.10
28,detection,25.00
28,landmarks,117.06
